Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-03 16:47:35 | WARD_B_TEMP_05 | 40.2 | CRITICAL
2026-06-03 16:47:36 | WARD_B_TEMP_01 | 37.5 | WARNING
2026-06-03 16:47:36 | WARD_B_TEMP_02 | 37.8 | WARNING
2026-06-03 16:47:36 | WARD_B_TEMP_03 | 36.3 | NORMAL
2026-06-03 16:47:36 | WARD_B_TEMP_04 | 38.8 | CRITICAL
2026-06-03 16:47:36 | WARD_B_TEMP_05 | 37.8 | WARNING
2026-06-03 16:47:37 | WARD_B_TEMP_01 | 37.0 | NORMAL
2026-06-03 16:47:37 | WARD_B_TEMP_02 | 40.4 | CRITICAL
2026-06-03 16:47:37 | WARD_B_TEMP_03 | 38.0 | WARNING
2026-06-03 16:47:37 | WARD_B_TEMP_04 | 38.6 | CRITICAL
2026-06-03 16:47:37 | WARD_B_TEMP_05 | 35.3 | CRITICAL
2026-06-03 16:47:38 | WARD_B_TEMP_01 | 38.7 | CRITICAL
2026-06-03 16:47:38 | WARD_B_TEMP_02 | 37.3 | NORMAL
2026-06-03 16:47:38 | WARD_B_TEMP_03 | 35.1 | CRITICAL
2026-06-03 16:47:38 | WARD_B_TEMP_04 | 36.3 | NORMAL
2026-06-03 16:47:38 | WARD_B_TEMP_05 | 39.3 | CRITICAL
2026-06-03 16:47:39 | WARD_B_TEMP_01 | 40.1 | CRITICAL
2026-06-03 16:47:39 | WARD_B_TEMP_02 | 34.8 | CRITICAL
2026-06-03 16:47:39 | WARD_B_TEMP_03 | 35.3 | CRITICAL
2026-06-03 16:47:39 | WARD_B_TEMP_04 | 40.4 | CRITICAL
2026-06-03 16:47:39 | WARD_B_TEMP_05 | 37.8 | WARNING
2026-06-03 16:47:40 | WARD_B_TEMP_01 | 38.8 | CRITICAL
2026-06-03 16:47:40 | WARD_B_TEMP_02 | 39.7 | CRITICAL
2026-06-03 16:47:40 | WARD_B_TEMP_03 | 40.2 | CRITICAL
2026-06-03 16:47:40 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-03 16:47:40 | WARD_B_TEMP_05 | 39.7 | CRITICAL
2026-06-03 16:47:41 | WARD_B_TEMP_01 | 37.0 | NORMAL
2026-06-03 16:47:41 | WARD_B_TEMP_02 | 35.4 | CRITICAL
2026-06-03 16:47:41 | WARD_B_TEMP_03 | 34.5 | CRITICAL
2026-06-03 16:47:41 | WARD_B_TEMP_04 | 38.3 | CRITICAL
2026-06-03 16:47:41 | WARD_B_TEMP_05 | 35.2 | CRITICAL
2026-06-03 16:47:42 | WARD_B_TEMP_01 | 37.0 | NORMAL
2026-06-03 16:47:42 | WARD_B_TEMP_02 | 38.2 | CRITICAL
2026-06-03 16:47:42 | WARD_B_TEMP_03 | 40.0 | CRITICAL
2026-06-03 16:47:42 | WARD_B_TEMP_04 | 36.7 | NORMAL
2026-06-03 16:47:42 | WARD_B_TEMP_05 | 38.8 | CRITICAL
2026-06-03 16:47:43 | WARD_B_TEMP_01 | 37.4 | NORMAL
2026-06-03 16:47:43 | WARD_B_TEMP_02 | 36.7 | NORMAL
2026-06-03 16:47:43 | WARD_B_TEMP_03 | 36.1 | NORMAL
2026-06-03 16:47:43 | WARD_B_TEMP_04 | 36.0 | NORMAL
2026-06-03 16:47:43 | WARD_B_TEMP_05 | 35.5 | NORMAL
2026-06-03 16:47:44 | WARD_B_TEMP_01 | 37.3 | NORMAL
2026-06-03 16:47:44 | WARD_B_TEMP_02 | 36.5 | NORMAL
2026-06-03 16:47:44 | WARD_B_TEMP_03 | 39.6 | CRITICAL
2026-06-03 16:47:44 | WARD_B_TEMP_04 | 35.6 | NORMAL
2026-06-03 16:47:44 | WARD_B_TEMP_05 | 38.2 | CRITICAL
2026-06-03 16:47:45 | WARD_B_TEMP_01 | 38.5 | CRITICAL
2026-06-03 16:47:45 | WARD_B_TEMP_02 | 35.8 | NORMAL
2026-06-03 16:47:45 | WARD_B_TEMP_03 | 36.3 | NORMAL
2026-06-03 16:47:45 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-06-03 16:47:45 | WARD_B_TEMP_05 | 39.5 | CRITICAL
2026-06-03 16:47:46 | WARD_B_TEMP_01 | 37.2 | NORMAL
2026-06-03 16:47:46 | WARD_B_TEMP_02 | 38.2 | CRITICAL
2026-06-03 16:47:46 | WARD_B_TEMP_03 | 38.9 | CRITICAL
2026-06-03 16:47:46 | WARD_B_TEMP_04 | 38.5 | CRITICAL
2026-06-03 16:47:46 | WARD_B_TEMP_05 | 36.5 | NORMAL
2026-06-03 16:47:47 | WARD_B_TEMP_01 | 40.4 | CRITICAL
2026-06-03 16:47:47 | WARD_B_TEMP_02 | 39.2 | CRITICAL
2026-06-03 16:47:47 | WARD_B_TEMP_03 | 39.7 | CRITICAL
2026-06-03 16:47:47 | WARD_B_TEMP_04 | 39.1 | CRITICAL
2026-06-03 16:47:47 | WARD_B_TEMP_05 | 35.4 | CRITICAL
2026-06-03 16:47:48 | WARD_B_TEMP_01 | 36.9 | NORMAL
2026-06-03 16:47:48 | WARD_B_TEMP_02 | 35.9 | NORMAL
2026-06-03 16:47:48 | WARD_B_TEMP_03 | 35.0 | CRITICAL
2026-06-03 16:47:48 | WARD_B_TEMP_04 | 36.4 | NORMAL
2026-06-03 16:47:48 | WARD_B_TEMP_05 | 39.8 | CRITICAL
2026-06-03 16:47:49 | WARD_B_TEMP_01 | 36.9 | NORMAL
2026-06-03 16:47:49 | WARD_B_TEMP_02 | 38.0 | WARNING
2026-06-03 16:47:49 | WARD_B_TEMP_03 | 34.9 | CRITICAL
2026-06-03 16:47:49 | WARD_B_TEMP_04 | 35.8 | NORMAL
2026-06-03 16:47:49 | WARD_B_TEMP_05 | 36.3 | NORMAL
2026-06-03 16:47:50 | WARD_B_TEMP_01 | 36.3 | NORMAL
2026-06-03 16:47:50 | WARD_B_TEMP_02 | 37.4 | NORMAL
2026-06-03 16:47:50 | WARD_B_TEMP_03 | 36.9 | NORMAL
2026-06-03 16:47:50 | WARD_B_TEMP_04 | 36.5 | NORMAL
2026-06-03 16:47:50 | WARD_B_TEMP_05 | 38.2 | CRITICAL
2026-06-03 16:47:51 | WARD_B_TEMP_01 | 38.3 | CRITICAL
2026-06-03 16:47:51 | WARD_B_TEMP_02 | 36.2 | NORMAL
2026-06-03 16:47:51 | WARD_B_TEMP_03 | 35.0 | CRITICAL
2026-06-03 16:47:51 | WARD_B_TEMP_04 | 35.9 | NORMAL
2026-06-03 16:47:51 | WARD_B_TEMP_05 | 37.8 | WARNING
2026-06-03 16:47:52 | WARD_B_TEMP_01 | 40.1 | CRITICAL
2026-06-03 16:47:52 | WARD_B_TEMP_02 | 39.6 | CRITICAL
2026-06-03 16:47:52 | WARD_B_TEMP_03 | 40.5 | CRITICAL
2026-06-03 16:47:52 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-03 16:47:52 | WARD_B_TEMP_05 | 38.0 | WARNING
